path,language,total_lines,nonblank_lines
backend/config.py,py,36,29
backend/database.py,py,62,48
backend/desktop_launcher.py,py,81,62
backend/init_db.py,py,7,4
backend/main.py,py,110,91
backend/models.py,py,70,56
backend/routers/__init__.py,py,1,0
backend/routers/books.py,py,79,67
backend/routers/cards.py,py,33,26
backend/routers/chat.py,py,45,36
backend/routers/settings.py,py,59,48
backend/routers/tts.py,py,35,28
backend/routers/upload.py,py,54,45
backend/schemas.py,py,134,101
backend/services/__init__.py,py,1,0
backend/services/card_generator.py,py,247,207
backend/services/concept_splitter.py,py,67,55
backend/services/deepseek_client.py,py,212,185
backend/services/file_parser.py,py,28,21
backend/services/kokoro_manager.py,py,79,65
backend/services/kokoro_service.py,py,230,188
backend/services/kokoro_worker.py,py,232,187
backend/services/kokoro_worker_client.py,py,105,85
backend/services/runtime_settings.py,py,68,54
backend/services/sherpa_tts.py,py,273,227
backend/services/tts_client.py,py,177,142
frontend/src/api/client.js,js,78,75
frontend/src/App.jsx,jsx,94,88
frontend/src/components/ChatPanel.jsx,jsx,80,76
frontend/src/components/ConceptCard.jsx,jsx,141,125
frontend/src/components/DeepSeekSettings.jsx,jsx,346,317
frontend/src/components/OutlineTree.jsx,jsx,100,92
frontend/src/components/RichText.jsx,jsx,105,99
frontend/src/components/UploadBox.jsx,jsx,40,38
frontend/src/components/VoiceButton.jsx,jsx,182,165
frontend/src/main.jsx,jsx,11,9
frontend/src/pages/BookPage.jsx,jsx,111,102
frontend/src/pages/CardReaderPage.jsx,jsx,194,176
frontend/src/pages/UploadPage.jsx,jsx,61,57
frontend/src/styles/index.css,css,29,23
